TYPE	PACKAGE	CHAR_KEY	SELF_KEY	NAME	HINT	LINE
SKILL	bingshi		old_potzaoxian		剩下这部分ai直接照抄手杀界屯田力	3373
SKILL	bingshi		potgongmou		势桓阶（传奇搅屎棍，新时代鲁大师）	3399
SKILL	bingshi		potzhengshuo		势桓阶（传奇搅屎棍，新时代鲁大师）	3438
SKILL	bingshi		potjiejie		势辛宪英	3483
SKILL	bingshi		potqingshi		await target.viewHandcards(player);	3668
SKILL	bingshi		mbquanchong		陈祇	3708
SKILL	bingshi		mbrenxing		陈祇	3737
SKILL	bingshi		pothaoshi		势鲁肃	3840
SKILL	bingshi		potdimeng		势鲁肃	3992
SKILL	bingshi		mbxiongtu		孙峻	4107
SKILL	bingshi		mbxianshuai		孙峻	4203
SKILL	bingshi		potzhongao		势魏延	4303
SKILL	bingshi		potzhuangshi		势魏延	4380
SKILL	bingshi		potyinzhan		势魏延	4539
SKILL	bingshi		potkuanggu		势魏延	4589
SKILL	bingshi		mbfeijing		张燕	4695
SKILL	bingshi		mbxiaoge		张燕	4886
SKILL	bingshi		mbqingdao		国渊	4941
SKILL	bingshi		mbxiugeng		新函数chooseButtonTarget第一次使用，用法跟chooseCardTarget类似	5099
SKILL	bingshi		mbchenshe		新函数chooseButtonTarget第一次使用，用法跟chooseCardTarget类似	5169
SKILL	bingshi		mbchizhang		手杀黄祖	5216
SKILL	bingshi		mbduanyang		手杀黄祖	5306
SKILL	bingshi		mbganggeng		手杀田丰	5380
SKILL	bingshi		mbsijian		手杀田丰	5449
SKILL	bingshi		mbrunwei		手杀陆郁生	5571
SKILL	bingshi		mbshuanghuai		手杀陆郁生	5743
SKILL	bingshi		potwanglie		势陈到	5845
SKILL	bingshi		pothongyi		势陈到	5940
SKILL	bingshi		mbjianji		用同一张牌拼点神将	6028
SKILL	bingshi		mbyuanmo		其实不用看fixedResult吧，这会看card1，card2应该就可以了	6243
SKILL	bingshi		mbtanfeng		夏侯尚	6275
SKILL	bingshi		mbganjue		孙韶	6350
SKILL	bingshi		mbzhuji		孙韶	6405
SKILL	bingshi		mbxuye		庞羲	6529
SKILL	bingshi		mbkuangxiang		player.logSkill("mbxuye", [target], null, null, !isMax && target.isMaxHandcard() && target.countCards("ej") > 0 ? [1] : [get.rand(2, 3)]);	6558
SKILL	bingshi		potguansha		势娄圭	6661
SKILL	bingshi		potjiyu		势娄圭	6703
SKILL	bingshi		potdaozhuan		势于吉	6789
SKILL	bingshi		potfuji		势于吉	6998
SKILL	bingshi		spmiaolve		势董昭	7270
SKILL	bingshi		spyingjia		势董昭	7325
SKILL	bingshi		potzhanlie		势太史慈 ---	7412
SKILL	bingshi		pothanzhan		player.popup(choice);	7648
SKILL	bingshi		potzhenfeng		player.popup(choice);	7706
SKILL	clan		clankuanqu		族陆昙	7855
SKILL	clan		clananliu		族陆昙	7953
SKILL	clan		clanfuyao		族诸葛果	7992
SKILL	clan		clanfenshi		族诸葛果	8119
SKILL	clan		clanchengwang		族诸葛瞻	8143
SKILL	clan		clanzhuiji		族荀灌	8264
SKILL	clan		clanyunying		族荀灌	8305
SKILL	clan		clanshixi		族陆郁生	8334
SKILL	clan		clanjianbai		族陆郁生	8557
SKILL	clan		clanqingjue		族荀莳（族荀肘）	8729
SKILL	clan		clanxsyingxiang		太棒了，是宝宝标记，我们有救了！	8861
SKILL	clan		clanfenjian		族陈泰	8962
SKILL	clan		clandongxu		族陈泰	9079
SKILL	clan		clangezhi		族陈群	9247
SKILL	clan		clanmingdian		族陈群	9451
SKILL	clan		clanshize		重铸时手牌中有所有基本牌牌名且重铸后手牌中有缺少的基本牌牌名	9529
SKILL	clan		clandingan		族荀彧	9601
SKILL	clan		clanfuning		族荀彧	9729
SKILL	clan		clanheta		族韩馥	9803
SKILL	clan		clanyingxiang		族韩馥	9904
SKILL	clan		clangailan		族陆绩	10016
SKILL	clan		huntianyi_skill		族陆绩	10060
SKILL	clan		clanfennu		族陆绩	10131
SKILL	clan		clanzelie		lose_list.push([current, cards2]);	10257
SKILL	clan		clantanfeng		族陆景	10333
SKILL	clan		clanjuewei		族陆景	10401
SKILL	clan		clanjiannan		族杨彪	10510
SKILL	clan		clanyichi		族杨彪	10699
SKILL	clan		clanjuetu		族杨众	10772
SKILL	clan		clankudu		修复有些角色的牌不能在弃牌阶段弃置的bug	10851
SKILL	clan		clanyangji		族荀爽	10909
SKILL	clan		clandandao		族荀爽	10992
SKILL	clan		clanqingli		族荀爽	11015
SKILL	clan		clanjiewu		族杨修	11027
SKILL	clan		clangaoshi		族杨修	11137
SKILL	clan		clanqieyi		族杨赐	11238
SKILL	clan		clanjianzhi		族杨赐	11317
SKILL	clan		clanquhuo		族杨赐	11461
SKILL	clan		clangaojin		族吴懿	11544
SKILL	clan		old_clangaojin		距离变化后神将	11621
SKILL	clan		clanpoxi		i到j的距离	11687
SKILL	clan		clananran		族王沈	11759
SKILL	clan		clangaobian		族王沈	11845
SKILL	clan		clankaiji		族王昶	11907
SKILL	clan		clanchengqi		族钟繇	11982
SKILL	clan		clanjieli		族钟繇	12159
SKILL	clan		clantanque		族王明山	12233
SKILL	clan		clanshengmo		族王明山	12354
SKILL	clan		clanlilun		族贝斯塔[doge]	12526
SKILL	clan		clanjianji		族贝斯塔[doge]	12606
SKILL	clan		clanqiajue		族吴乔	12694
SKILL	clan		clanbaichu		族荀攸	12753
SKILL	clan		clanqiuxin		族王沦	12928
SKILL	clan		clanjianyuan		族王沦	13105
SKILL	clan		clanjiejian		族钟毓	13163
SKILL	clan		clanhuanghan		族钟毓	13230
SKILL	clan		clanyuzhi		族钟会	13295
SKILL	clan		clanxieshu		族钟会	13405
SKILL	clan		clanfuxun		族王浑	13460
SKILL	clan		clanchenya		族王浑	13681
SKILL	clan		clanjiexuan		族王允	13730
SKILL	clan		clanmingjie		族王允	13785
SKILL	clan		clanguangu		族钟琰	14026
SKILL	clan		clanxiaoyong		族钟琰	14225
SKILL	clan		clanbaozu		族钟琰	14363
SKILL	clan		clanbolong		族王凌	14387
SKILL	clan		clanzhongliu		族王凌	14482
SKILL	clan		clanlianzhu		族吴匡	14507
SKILL	clan		clanfangzhen		族韩韶	14741
SKILL	clan		clanliuju		族韩韶	14882
SKILL	clan		clanxumin		族韩韶	14981
SKILL	clan		clanlianhe		我们连和！（？）	15014
SKILL	clan		clanhuanjia		我们连和！（？）	15118
SKILL	clan		clansankuang		族荀谌	15248
SKILL	clan		clanbeishi		族荀谌	15342
SKILL	clan		clanshenjun		族荀淑	15393
SKILL	clan		clanbalong		族荀淑	15532
SKILL	clan		clanyunshen		族荀粲	15571
SKILL	clan		clanshangshen		族荀粲	15626
SKILL	clan		clanfenchai		族荀粲	15657
SKILL	clan		clanlieshi		族荀采	15749
SKILL	clan		clandianzhan		族荀采	15965
SKILL	clan		clanhuanyin		族荀采	16054
SKILL	clan		clandaojie		族荀采	16066
SKILL	clan		clanzhanding		族吴班	16154
SKILL	clan		clanyirong		族吴苋	16212
SKILL	clan		clanguixiang		族吴苋	16302
SKILL	clan		clanmuyin		族吴苋	16319
SKILL	clan		chenliuwushi		族吴苋	16354
SKILL	collab		oldianbu		OL牛马	16409
SKILL	collab		oljuhun		OL牛马	16412
SKILL	collab		boxue		博学曹冲	16416
SKILL	collab		zhizhong		博学曹冲	16560
SKILL	collab		haoxue		好学吕蒙	16641
SKILL	collab		qiongshe		好学吕蒙	16667
SKILL	collab		xiangxue		想学刘禅	16710
SKILL	collab		zhiyong		想学刘禅	16781
SKILL	collab		natulie		那兔	16925
SKILL	collab		natuheng		return player.countCards("h") != num;	16972
SKILL	collab		natuxing		return player.countCards("h") != num;	17084
SKILL	collab		natufu		return player.countCards("h") != num;	17175
SKILL	collab		natuyi		return player.countCards("h") != num;	17279
SKILL	collab		olweidai		乐曹丕	17566
SKILL	collab		olliangzi		乐曹丕	17603
SKILL	collab		yiran		魔周瑜	17673
SKILL	collab		olsuizhong		粘兽	17695
SKILL	collab		olnianyi		粘兽	17725
SKILL	collab		olfuyou		粘兽	17778
SKILL	collab		oljiangwu		乐诸葛亮	17808
SKILL	collab		olxinghan		适配单人控制（）	18278
SKILL	collab		dchaoshi		宫百万	18335
SKILL	collab		dcshentui		美腿之神	18380
SKILL	collab		dcxurui		美腿之神	18451
SKILL	collab		dcfanzhuan		逆转之神	18464
SKILL	collab		dcniyun		逆转之神	18482
SKILL	collab		dckeshui		睡眠之神	18496
SKILL	collab		dcbaibian		变幻之神	18552
SKILL	collab		dchuibian		抉择之神	18571
SKILL	collab		dcweiqu		委屈之神	18628
SKILL	collab		dcmaimeng		可爱之神	18697
SKILL	collab		dcgunyuan		体重之神	18776
SKILL	collab		dczuandai		体重之神	18797
SKILL	collab		mbjunkui		赤兔	18819
SKILL	collab		mbchiyuan		赤兔	18854
SKILL	collab		mbjiguan		绝影	18945
SKILL	collab		mbzhengpeng		绝影	18979
SKILL	collab		mbyuetan		的卢	19053
SKILL	collab		mbshezi		高达木牛流马	19138
SKILL	collab		mbyixing		刘巴！刘巴！刘巴！	19190
SKILL	collab		mbjimi		哈基术	19280
SKILL	collab		mbmaodie		哈基术	19360
SKILL	collab		dmchongqi		魔白马	19425
SKILL	collab		dmfanquan		魔白马	19452
SKILL	collab		bachiqionggouyu_skill		魔白马	19502
SKILL	collab		bazhijing_skill		魔白马	19524
SKILL	collab		olmojin		魔白马	19562
SKILL	collab		oldingbao		魔白马	19911
SKILL	collab		luoyangchan_skill		魔白马	19958
SKILL	collab		oltuoquan		乐刘禅 ————蜀十头	19993
SKILL	collab		oldianzan		乐刘禅 ————蜀十头	20131
SKILL	collab		olxianglv		乐刘禅 ————蜀十头	20179
SKILL	collab		olanle		乐刘禅 ————蜀十头	20225
SKILL	collab		dcyingyou		有诸葛亮 ————我才是奶龙！	20275
SKILL	collab		real_zhuge_skill		有诸葛亮 ————我才是奶龙！	20410
SKILL	collab		olandu		谋谋邓艾	20480
SKILL	collab		olqiqi		谋谋邓艾	20574
SKILL	collab		olhuaquan		狂李儒	20609
SKILL	collab		olsanou		狂李儒	20670
SKILL	collab		renhuoluan		忍邓艾&姜维	20780
SKILL	collab		renguxing		忍邓艾&姜维	20931
SKILL	collab		renneyan		忍邓艾&姜维	21014
SKILL	collab		renqianyao		忍邓艾&姜维	21100
SKILL	collab		strongduanti		健美圈冲儿	21203
SKILL	collab		stronglianwu		健美圈冲儿	21247
SKILL	collab		oltiangong		张角三兄弟	21287
SKILL	collab		oldigong		张角三兄弟	21323
SKILL	collab		olrengong		张角三兄弟	21399
SKILL	collab		dclieti		烈袁绍袁术	21466
SKILL	collab		dcshigong		因为需要兼容联机，所以加上replaceHandcards的时机，该事件是联机时的手气卡事件	21556
SKILL	collab		dcluankui		为false则表示不是第一次使用手牌，因为考虑到技能可能被失效导致第一张手牌受到限制所以用的false来赋值	21615
SKILL	collab		dcweiji		田忌	21688
SKILL	collab		dcsaima		田忌	21747
SKILL	collab		olyinfeng		夏侯恩	21790
SKILL	collab		olfulu		夏侯恩	21858
SKILL	collab		oljuejue		韩氏芜湖	21974
SKILL	collab		olpimi		韩氏芜湖	22007
SKILL	collab		dcbaoshi		食岑昏	22073
SKILL	collab		dcxinggong		食岑昏	22099
SKILL	collab		olsuichong		年兽	22149
SKILL	collab		olshouhun		年兽	22337
SKILL	collab		olzishu		十二生肖	22418
SKILL	collab		olchouniu		十二生肖	22456
SKILL	collab		olyinhu		十二生肖	22467
SKILL	collab		olmaotu		十二生肖	22521
SKILL	collab		olchenlong		十二生肖	22546
SKILL	collab		olsishe		十二生肖	22595
SKILL	collab		olwuma		十二生肖	22623
SKILL	collab		olweiyang		十二生肖	22659
SKILL	collab		olshenhou		十二生肖	22707
SKILL	collab		olyouji		十二生肖	22732
SKILL	collab		olxugou		十二生肖	22743
SKILL	collab		olhaizhu		十二生肖	22796
SKILL	collab		olfengzhu		战神吕布	22841
SKILL	collab		olyuyu		战神吕布	22892
SKILL	collab		ollbzhiji		战神吕布	22961
SKILL	collab		oljiejiu		战神吕布	23007
SKILL	collab		dcbeijin		卫青	23154
SKILL	collab		xingzhou		姜子牙	23256
SKILL	collab		lieshen		姜子牙	23307
SKILL	collab		zhuzhou		申公豹	23445
SKILL	collab		yaoxian		申公豹	23468
SKILL	collab		xwshoufa		寿星	23537
SKILL	collab		fuzhao		寿星	23620
SKILL	collab		oldingxi		江山如故二代目	23650
SKILL	collab		olnengchen		江山如故二代目	23736
SKILL	collab		olhuojie		江山如故二代目	23752
SKILL	collab		dcjuanlv		我们意念合一×2	23781
SKILL	collab		dcqixin		我们意念合一×2	23789
SKILL	collab		olhuyi		是的孩子们，我们意念合一	23921
SKILL	collab		dcchushan		无名	24118
SKILL	collab		dchuiwan		会玩孙权	24215
SKILL	collab		dchuanli		会玩孙权	24274
SKILL	collab		dcqiusuo		屈原	24430
SKILL	collab		dclisao		屈原	24444
SKILL	collab		dcbenxi		名将吴懿	24655
SKILL	collab		dclonghun		打赢复活赛的牢达[哭]	24770
SKILL	collab		dczhanjiang		打赢复活赛的牢达[哭]	24979
SKILL	collab		dcshuangbi		双壁=100%技能周瑜+100%原画孙策	24999
SKILL	collab		dcsantou		哪吒	25089
SKILL	collab		dcfaqi		哪吒	25187
SKILL	collab		dcjianxiong		隅泣曹操	25240
SKILL	collab		dcrende		缺德刘备	25299
SKILL	collab		dczhiheng		会玩孙权	25360
SKILL	collab		dcbianzhuang		朱铁雄	25483
SKILL	collab		dctongliao		小约翰可汗	25578
SKILL	collab		dcwudao		小约翰可汗	25683
SKILL	collab		clbjisu		叶诗文	25735
SKILL	collab		clbshuiyong		叶诗文	25763
SKILL	collab		clbshuijian		孙杨	25784
SKILL	collab		dclbjiuxian		李白	25796
SKILL	collab		dcshixian		李白	25842
SKILL	collab		dclonggong		龙王	25937
SKILL	collab		dcsitian		龙王	25965
SKILL	collab		dcjinjing		美猴王	26212
SKILL	collab		dccibei		美猴王	26224
SKILL	collab		dcruyi		美猴王	26251
SKILL	collab		ruyijingubang_skill		美猴王	26332
SKILL	collab		ruyijingubang_effect		美猴王	26445
SKILL	collab		dcnutao		涛神	26506
SKILL	collab		spduanzhi		铜雀台	26569
SKILL	collab		spduyi		铜雀台	26611
SKILL	collab		spduyi2		铜雀台	26653
SKILL	collab		spcangni		铜雀台	26666
SKILL	collab		spmixin		铜雀台	26741
SKILL	collab		spfengyin		铜雀台	26819
SKILL	collab		spchizhong		铜雀台	26868
SKILL	collab		fenxin_old		铜雀台	26880
SKILL	collab		quanjia		波仔	26960
SKILL	collab		xiaomian		香蕉端午	27017
SKILL	collab		xuyuan		香蕉端午	27037
SKILL	diy		noname_gongchuang		幻小无	27091
SKILL	diy		huan_duocai		幻小无	27256
SKILL	diy		noname_changeGroup		幻小无	27361
SKILL	diy		nspianwu		诗笺	27390
SKILL	diy		nsxingyun		派对浪客	29239
SKILL	diy		nshanlang		派对浪客	29390
SKILL	diy		nskuanhuai		钟离牧	29468
SKILL	diy		nsdingbian		钟离牧	29547
SKILL	diy		nstuilun		李密	29658
SKILL	diy		nsshizui		阮籍	29812
SKILL	diy		nsxiaoye		阮籍	29864
SKILL	diy		nsshimeng		臧洪	29937
SKILL	diy		nsqiyue		step 1	30015
SKILL	diy		nsxuezhu		step 1	30024
SKILL	diy		noname_zhuyuan		step 1	30038
SKILL	diy		noname_retieji		step 1	30157
SKILL	diy		noname_jiang		step 1	30166
SKILL	diy		noname_duocai		step 1	30175
SKILL	diy		nsbizhao		step 1	30253
SKILL	diy		nsqingde		step 1	30281
SKILL	diy		nsyidi		step 1	30387
SKILL	diy		nsfuzhou		step 1	30459
SKILL	diy		nsfuzhou_num		step 1	30509
SKILL	diy		nsguidao		step 1	30523
SKILL	diy		nstaiping		step 1	30593
SKILL	diy		nsweiyuan		step 1	30632
SKILL	diy		nsweiyuan_use		step 2	30702
SKILL	diy		nsjuxian		step 2	30808
SKILL	diy		nsjuxian2		step 2	30829
SKILL	diy		nsdiewu		step 2	30840
SKILL	diy		nslingying		step 2	30928
SKILL	diy		nspojian		step 2	30942
SKILL	diy		nsliegong		step 2	30963
SKILL	diy		nsguolie		step 2	30966
SKILL	diy		nsguolie2		step 2	30985
SKILL	diy		nslongyue		step 2	31041
SKILL	diy		nslongyue_ai		step 2	31065
SKILL	diy		nszhenyin		step 2	31089
SKILL	diy		nsxianhai		step 2	31201
SKILL	diy		nsxingchu		step 3	31273
SKILL	diy		nsshengyan		step 3	31303
SKILL	diy		nsdaizhan		step 3	31347
SKILL	diy		nsjiquan		step 3	31435
SKILL	diy		nsjiquan_mark		step 3	31483
SKILL	diy		nsfuwei		step 3	31490
SKILL	diy		nsdiemou		step 3	31508
SKILL	diy		nszhihuang		step 3	31527
SKILL	diy		nszhihuang_damage		step 1	31583
SKILL	diy		junksijun		OL神张角	31596
SKILL	diy		junkshicai		手杀削弱版许攸	31653
SKILL	diy		junklangmie		削弱版段煨	31731
SKILL	diy		junkwangxi		李典光速通渠传说	31842
SKILL	diy		junkjizhi		2013标准包双蜀黑	31854
SKILL	diy		junkqicai		step 2	31890
SKILL	diy		junkrende		step 2	31905
SKILL	diy		junktaoluan		十周年削弱版张让	31967
SKILL	diy		junktaoluan2		十周年削弱版张让	32120
SKILL	diy		junktaoluan3		十周年削弱版张让	32178
SKILL	diy		nshuaishuang		十周年削弱版张让	32190
SKILL	diy		nsfengli		十周年削弱版张让	32204
SKILL	diy		nsfengli_draw		十周年削弱版张让	32239
SKILL	diy		nsfengli_clear		十周年削弱版张让	32306
SKILL	diy		nsfengli2		十周年削弱版张让	32321
SKILL	diy		nsfengli_use		十周年削弱版张让	32331
SKILL	diy		ns_xiandao		十周年削弱版张让	32435
SKILL	diy		ns_chuanshu		十周年削弱版张让	32482
SKILL	diy		ns_chuanshu2		十周年削弱版张让	32508
SKILL	diy		ns_chuanshu3		十周年削弱版张让	32535
SKILL	diy		ns_xiuzheng		十周年削弱版张让	32556
SKILL	diy		nsanruo		十周年削弱版张让	32614
SKILL	diy		nsxunshan		十周年削弱版张让	32650
SKILL	diy		nskaicheng		十周年削弱版张让	32674
SKILL	diy		nsjuanli		step 3	32757
SKILL	diy		nsyuanchou		step 3	32879
SKILL	diy		nsguhuo		step 3	32902
SKILL	diy		nsbaiyi		step 3	32981
SKILL	diy		nsqinxue		step 3	33033
SKILL	diy		nsfuge		step 3	33084
SKILL	diy		nsbaiming		step 3	33117
SKILL	diy		nsxinzhan		step 3	33241
SKILL	diy		nstanbing		step 3	33315
SKILL	diy		nswangfeng		step 1	33357
SKILL	diy		nsfuhuo		step 1	33420
SKILL	diy		nsfuhuo2		step 1	33484
SKILL	diy		nshunji		step 1	33534
SKILL	diy		nsbaquan		step 1	33581
SKILL	diy		nschangshi		step 1	33621
SKILL	diy		nsjianning		step 1	33697
SKILL	diy		nscuanquan		step 1	33743
SKILL	diy		nstianji		step 1	33787
SKILL	diy		nsbugua		step 1	33808
SKILL	diy		nstuiyan		step 1	33904
SKILL	diy		nsshijun		step 1	34030
SKILL	diy		nszhaoxin		step 1	34054
SKILL	diy		nsxiuxin		step 1	34079
SKILL	diy		nscangxi		step 1	34089
SKILL	diy		nscangxi2		step 1	34105
SKILL	diy		nswulie		step 1	34203
SKILL	diy		nshunyou		step 2	34257
SKILL	diy		nsgongjian		step 2	34339
SKILL	diy		nscaijian		step 1	34374
SKILL	diy		nsdongcha		step 1	34422
SKILL	diy		nsjianxiong		step 1	34483
SKILL	diy		nsxionglue		step 1	34528
SKILL	diy		nshuanhuo		step 1	34571
SKILL	diy		nsyaowang		step 2	34627
SKILL	diy		nsjianshu		step 2	34708
SKILL	diy		nscangjian		step 2	34723
SKILL	diy		nsyunxing		step 2	34739
SKILL	diy		nsguanxing		step 1	34840
SKILL	diy		nshaoling		step 1	34943
SKILL	diy		nsgefa		step 1	35003
SKILL	diy		nscaiyi		step 1	35024
SKILL	diy		nspinmin		step 1	35060
SKILL	diy		nsshishou		step 1	35103
SKILL	diy		nsduijue		step 1	35140
SKILL	diy		nsshuangxiong		step 1	35203
SKILL	diy		nsguanyong		step 1	35213
SKILL	diy		nsjihui		step 1	35239
SKILL	diy		nsmouyun		step 1	35276
SKILL	diy		nscongjun		step 1	35297
SKILL	diy		nstaiping_nh		step 2	35356
SKILL	diy		nsshoudao		step 2	35440
SKILL	diy		nshuanxian		step 2	35534
SKILL	diy		nsnongquan		理论上我可以不改，但我不想格式化后还得正则替换，于是交给GPT-5 mini了，因为免费	35813
SKILL	diy		nsdufu		理论上我可以不改，但我不想格式化后还得正则替换，于是交给GPT-5 mini了，因为免费	35832
SKILL	diy		liangji		step 1	35862
SKILL	diy		jugong		step 1	35929
SKILL	diy		chengmou		step 2	36026
SKILL	diy		nsxinsheng		step 2	36055
SKILL	diy		nsdunxing		step 2	36066
SKILL	diy		tiangong		step 2	36077
SKILL	diy		tiangong2		step 2	36103
SKILL	diy		nsdingzhou		step 2	36118
SKILL	diy		junkyuheng		比原版更令人难以吐槽的神孙权	36155
SKILL	diy		junkdili		比原版更令人难以吐槽的神孙权	36225
SKILL	diy		junkshengzhi		比原版更令人难以吐槽的神孙权	36320
SKILL	diy		junkquandao		比原版更令人难以吐槽的神孙权	36365
SKILL	diy		junkchigang		比原版更令人难以吐槽的神孙权	36391
SKILL	diy		nsmanzhi		比原版更令人难以吐槽的神孙权	36422
SKILL	extra		jilin		应天司马懿！别肘	36558
SKILL	extra		yingyou		应天司马懿！别肘	36723
SKILL	extra		yingtian		应天司马懿！别肘	36814
SKILL	extra		changandajian_equip5		应天司马懿！别肘	36839
SKILL	extra		changandajian_destroy		应天司马懿！别肘	36843
SKILL	extra		dili		@ts-expect-error 神秘类型	36956
SKILL	extra		yuheng		让神山识能够获得东吴命运线	37335
SKILL	extra		new_wuhun		在已经发动过其他非锁定技时抽选技能	37472
SKILL	extra		new_guixin		在已经发动过其他非锁定技时抽选技能	37585
SKILL	extra		ol_shenfen		在已经发动过其他非锁定技时抽选技能	37705
SKILL	extra		ol_wuqian		在已经发动过其他非锁定技时抽选技能	37750
SKILL	extra		wumou		game.log(player,'获得了技能','#g【无双】');	37812
SKILL	extra		qinyin		game.log(player,'获得了技能','#g【无双】');	37858
SKILL	extra		lianpo		game.log(player,'获得了技能','#g【无双】');	37945
SKILL	extra		baonu		game.log(player,'获得了技能','#g【无双】');	37957
SKILL	extra		shenfen		game.log(player,'获得了技能','#g【无双】');	37982
SKILL	extra		wuqian		event.targets.sort(lib.sort.seat);	38024
SKILL	extra		renjie		event.targets.sort(lib.sort.seat);	38058
SKILL	extra		renjie2		event.targets.sort(lib.sort.seat);	38099
SKILL	extra		sbaiyin		event.targets.sort(lib.sort.seat);	38135
SKILL	extra		jilue		event.targets.sort(lib.sort.seat);	38153
SKILL	extra		jilue_guicai		event.targets.sort(lib.sort.seat);	38158
SKILL	extra		jilue_fangzhu		event.targets.sort(lib.sort.seat);	38235
SKILL	extra		jilue_wansha		priority:-1,	38300
SKILL	extra		jilue_zhiheng		priority:-1,	38338
SKILL	extra		jilue_jizhi		}	38388
SKILL	extra		wushen		}	38428
SKILL	extra		wuhun		}	38486
SKILL	extra		guixin		}	38528
SKILL	extra		qixing		}	38615
SKILL	extra		qixing2		下面内容直接复制的qixing2，仅ai做了改变	38705
SKILL	extra		dawu		下面内容直接复制的qixing2，仅ai做了改变	38760
SKILL	extra		dawu2		下面内容直接复制的qixing2，仅ai做了改变	38847
SKILL	extra		dawu3		下面内容直接复制的qixing2，仅ai做了改变	38866
SKILL	extra		kuangfeng		下面内容直接复制的qixing2，仅ai做了改变	38887
SKILL	extra		kuangfeng2		下面内容直接复制的qixing2，仅ai做了改变	38941
SKILL	extra		kuangfeng3		下面内容直接复制的qixing2，仅ai做了改变	38958
SKILL	extra		yeyan		下面内容直接复制的qixing2，仅ai做了改变	38979
SKILL	extra		longhun		下面内容直接复制的qixing2，仅ai做了改变	39125
SKILL	extra		longhun1		下面内容直接复制的qixing2，仅ai做了改变	39220
SKILL	extra		longhun2		下面内容直接复制的qixing2，仅ai做了改变	39245
SKILL	extra		longhun3		下面内容直接复制的qixing2，仅ai做了改变	39270
SKILL	extra		longhun4		下面内容直接复制的qixing2，仅ai做了改变	39295
SKILL	extra		juejing		下面内容直接复制的qixing2，仅ai做了改变	39320
SKILL	extra		relonghun		priority:-5,	39346
SKILL	extra		xinjuejing		game.log(trigger.cards)	39614
SKILL	extra		shelie		game.log(trigger.cards)	39648
SKILL	extra		gongxin		game.log(trigger.cards)	39682
SKILL	extra		nzry_longnu		神刘备	39750
SKILL	extra		nzry_jieying		神刘备	39869
SKILL	extra		nzry_junlve		神刘备	39967
SKILL	extra		nzry_cuike		神刘备	39983
SKILL	extra		nzry_dinghuo		神刘备	40027
SKILL	extra		drlt_duorui		神刘备	40094
SKILL	extra		duorui_clear		神刘备	40180
SKILL	extra		drlt_duorui1		神刘备	40197
SKILL	extra		drlt_zhiti		神刘备	40227
SKILL	extra		g_drlt_zhiti		神刘备	40279
SKILL	extra		drlt_poxi		神刘备	40293
SKILL	extra		drlt_poxi1		弃牌	40446
SKILL	extra		drlt_jieying		弃牌	40453
SKILL	huicui		dcqiansu		新杀费祎	40638
SKILL	huicui		dcxingbang		新杀费祎	40665
SKILL	huicui		dcfanhuo		新杀费祎	40708
SKILL	huicui		dcfuyue		乐曹植	40749
SKILL	huicui		dcwenlan		添加临时标记翻译，着重用于重连显示	40881
SKILL	huicui		dczhoufa		木鹿大王	41050
SKILL	huicui		dcshouqun		木鹿大王	41119
SKILL	huicui		dcyuxiang		木鹿大王	41209
SKILL	huicui		dchuozhong		魏讽	41237
